code,trade_date,date,time,price,open,high,low,settle,preclose,presettle,preinterest,total_volume,total_turnover,open_interest,volume,turnover,additional,bidprice1,bidqty1,askprice1,askqty1,bidprice2,bidqty2,askprice2,askqty2,bidprice3,bidqty3,askprice3,askqty3,bidprice4,bidqty4,askprice4,askqty4,bidprice5,bidqty5,askprice5,askqty5,bidprice6,bidqty6,askprice6,askqty6,bidprice7,bidqty7,askprice7,askqty7,bidprice8,bidqty8,askprice8,askqty8,bidprice9,bidqty9,askprice9,askqty9,bidprice10,bidqty10,askprice10,askqty10
ni2204,20220314,20220311,205900500,187000,187000,187000,187000,187000,222190,222190,0,2411,450857000,109848,0,0,0,187000,14,187420,1,186800,1,188000,1,186660,1,188990,4,186600,1,189000,4,186420,10,190000,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ni2204,20220314,20220311,210000500,190110,187000,195000,187000,187392.34,222190,222190,0,2662,498838410,109864,251,47981410,16,190110,3,195000,20,190050,1,195460,1,190040,1,195610,1,190030,2,196130,2,190020,5,196800,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ni2204,20220314,20220311,210001000,190140,187000,195000,187000,188679.086,222190,222190,0,3492,658867370,109716,830,160028960,-148,190140,6,193250,1,190120,5,193260,6,190110,77,193290,1,190050,1,193310,2,190040,1,193320,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ni2204,20220314,20220311,210001500,193260,187000,195000,187000,189083.216,222190,222190,0,3990,754442030,109639,498,95574660,-77,191860,1,193400,32,191250,2,193500,40,191220,1,193550,1,191210,1,193590,1,190740,1,193660,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
